date,symbol,open,close,low,high,volume
2010-01-04,STOCKA,138.65042495313224,136.30041895313224,135.54042395313223,139.01042595313226,7623904.249531322
2010-01-05,STOCKA,128.79173422856204,130.05174322856203,127.17173922856203,130.84173722856204,8805517.41228562
2010-01-06,STOCKA,131.395338077644,129.045332077644,128.44532607764398,131.525328077644,7146753.32077644
2010-01-07,STOCKA,128.09980615500086,126.08981115500085,124.88981415500085,128.40981815500086,10991098.111550009
2010-01-08,STOCKA,134.91514086486114,137.87514686486114,133.38514186486114,138.03513586486113,9874051.428648612
2010-01-11,STOCKA,135.00244116390382,132.69244416390384,131.59245316390385,135.18244916390384,8803224.46163904
2010-01-12,STOCKA,128.0543870410893,126.41438004108933,125.61438504108934,128.88438904108932,9086943.820410892
2010-01-13,STOCKA,127.29515781322496,128.50515681322497,125.14515581322496,129.10516281322498,10717151.55813225
2010-01-14,STOCKA,132.2151629353495,130.42516193534954,129.47516593534954,133.45516893534955,9805651.639353495
2010-01-15,STOCKA,127.38377888843341,125.34378488843342,125.26378388843341,127.85377988843341,15358537.858884335
2010-01-19,STOCKA,129.27059061254485,130.57059361254485,127.29059461254487,130.96059261254484,8922205.926125448
2010-01-20,STOCKA,122.4490713245333,121.09907332453331,120.39907632453331,124.5190713245333,9027890.743245333
2010-01-21,STOCKA,126.18303727185923,125.54303827185923,123.92303527185923,127.07302927185923,9959830.352718592
2010-01-22,STOCKA,123.46379653681078,119.29379853681078,118.62380053681078,125.53379653681077,11547537.985368108
2010-01-25,STOCKA,124.45087311660356,122.66087311660355,120.47087811660356,124.63087411660356,12047408.751166036
2010-01-26,STOCKA,119.90546425937625,118.82546925937625,118.40546425937625,122.32546925937625,9552454.662593763
2010-01-27,STOCKA,116.52616753271056,118.24616853271056,114.29617153271056,118.82617053271056,14720261.685327105
2010-01-28,STOCKA,125.10169761506732,126.70169661506732,123.47170061506732,127.87169461506731,27299816.976150673
2010-01-29,STOCKA,134.10742603491812,129.7474260349181,128.4774210349181,136.18742803491813,29514674.22034918
